"Date","Price","Open","High","Low","Vol.","Change %"
"06/14/2022","11,311.69","11,385.18","11,418.11","11,206.15","239.87M","0.21%"
"06/13/2022","11,288.32","11,472.19","11,567.12","11,254.18","340.67M","-4.60%"
"06/10/2022","11,832.82","12,055.29","12,072.44","11,825.35","282.31M","-3.56%"
"06/09/2022","12,269.78","12,543.37","12,665.04","12,265.86","222.66M","-2.74%"
"06/08/2022","12,615.13","12,680.75","12,776.65","12,578.55","196.32M","-0.76%"
"06/07/2022","12,711.67","12,456.21","12,735.89","12,413.55","191.58M","0.89%"
"06/06/2022","12,599.63","12,745.89","12,804.20","12,534.58","199.63M","0.41%"
"06/03/2022","12,548.03","12,650.92","12,724.71","12,505.98","218.62M","-2.67%"
"06/02/2022","12,892.89","12,498.63","12,897.24","12,450.53","236.84M","2.75%"
"06/01/2022","12,548.36","12,750.31","12,820.40","12,458.35","206.92M","-0.74%"
"05/31/2022","12,642.10","12,689.88","12,762.84","12,482.80","418.27M","-0.31%"
"05/27/2022","12,681.42","12,423.94","12,681.42","12,405.54","247.34M","3.30%"
"05/26/2022","12,276.79","11,906.83","12,337.68","11,901.87","252.30M","2.79%"
"05/25/2022","11,943.93","11,727.59","12,028.42","11,714.27","223.83M","1.48%"
"05/24/2022","11,769.84","11,809.46","11,841.61","11,576.13","231.83M","-2.20%"
"05/23/2022","12,034.28","11,867.08","12,047.62","11,785.76","222.48M","1.68%"
"05/20/2022","11,835.62","12,037.03","12,042.76","11,493.11","310.16M","-0.34%"
"05/19/2022","11,875.63","11,871.33","12,066.65","11,795.79","274.43M","-0.44%"
"05/18/2022","11,928.31","12,353.24","12,389.96","11,891.55","277.03M","-5.06%"
"05/17/2022","12,564.10","12,497.05","12,572.37","12,334.67","234.24M","2.62%"
"05/16/2022","12,243.58","12,297.07","12,395.37","12,196.56","198.21M","-1.16%"
"05/13/2022","12,387.40","12,124.19","12,429.23","12,069.83","268.77M","3.70%"
"05/12/2022","11,945.50","11,792.60","12,126.44","11,692.12","324.27M","-0.18%"
"05/11/2022","11,967.56","12,241.96","12,469.04","11,939.16","300.24M","-3.06%"
"05/10/2022","12,345.86","12,496.18","12,537.89","12,173.58","303.08M","1.30%"
"05/09/2022","12,187.72","12,466.12","12,540.12","12,136.19","320.01M","-3.98%"
"05/06/2022","12,693.54","12,774.21","12,926.58","12,523.07","275.07M","-1.22%"
"05/05/2022","12,850.55","13,344.79","13,344.79","12,710.59","327.49M","-5.06%"
"05/04/2022","13,535.71","13,110.30","13,556.67","12,887.53","287.02M","3.41%"
"05/03/2022","13,089.90","13,045.35","13,178.74","12,982.70","209.20M","0.11%"
"05/02/2022","13,075.85","12,864.83","13,083.57","12,716.62","263.46M","1.72%"
"04/29/2022","12,854.80","13,274.94","13,428.53","12,835.48","319.45M","-4.47%"
"04/28/2022","13,456.06","13,254.96","13,542.56","13,038.17","282.58M","3.48%"
"04/27/2022","13,003.36","13,009.40","13,241.94","12,936.41","256.81M","-0.05%"
"04/26/2022","13,009.71","13,447.66","13,447.66","13,009.65","263.14M","-3.87%"
"04/25/2022","13,533.22","13,275.41","13,541.77","13,239.73","247.87M","1.32%"
"04/22/2022","13,356.87","13,714.63","13,769.40","13,342.79","247.88M","-2.65%"
"04/21/2022","13,720.45","14,174.92","14,277.21","13,682.68","231.64M","-1.99%"
"04/20/2022","13,998.53","14,246.20","14,263.61","13,962.86","217.57M","-1.49%"
"04/19/2022","14,210.26","13,882.75","14,236.51","13,844.74","187.17M","2.15%"
"04/18/2022","13,910.76","13,859.47","13,997.92","13,788.96","172.21M","0.13%"
"04/14/2022","13,893.22","14,225.47","14,235.39","13,884.82","223.06M","-2.28%"
"04/13/2022","14,217.29","13,939.61","14,258.81","13,919.48","189.62M","1.99%"
"04/12/2022","13,940.24","14,175.66","14,264.74","13,882.75","193.95M","-0.36%"
"04/11/2022","13,990.20","14,149.60","14,187.67","13,979.14","211.62M","-2.35%"
"04/08/2022","14,327.26","14,450.53","14,490.19","14,307.68","185.19M","-1.41%"
"04/07/2022","14,531.81","14,469.50","14,624.24","14,315.69","197.28M","0.23%"
"04/06/2022","14,498.89","14,600.30","14,639.35","14,395.40","240.71M","-2.17%"
"04/05/2022","14,820.64","15,109.27","15,120.67","14,782.57","209.49M","-2.24%"
"04/04/2022","15,159.58","14,903.38","15,161.89","14,884.57","206.00M","2.01%"
"04/01/2022","14,861.21","14,886.91","14,925.93","14,723.83","215.30M","0.15%"
"03/31/2022","14,838.49","15,074.24","15,088.38","14,835.16","282.14M","-1.55%"
"03/30/2022","15,071.55","15,177.15","15,229.01","15,010.34","206.58M","-1.10%"
"03/29/2022","15,239.32","15,142.93","15,265.42","15,039.61","220.57M","1.68%"
"03/28/2022","14,987.40","14,763.16","14,989.08","14,705.92","193.74M","1.58%"
"03/25/2022","14,754.31","14,766.90","14,805.88","14,577.59","186.56M","-0.08%"
"03/24/2022","14,765.69","14,529.72","14,767.73","14,440.67","221.27M","2.20%"
"03/23/2022","14,447.55","14,525.22","14,681.33","14,446.04","226.97M","-1.41%"
"03/22/2022","14,654.33","14,396.03","14,688.97","14,385.55","234.86M","1.94%"
"03/21/2022","14,376.09","14,377.15","14,470.68","14,190.53","246.17M","-0.31%"
"03/18/2022","14,420.08","14,061.29","14,427.47","14,014.43","566.58M","2.14%"
"03/17/2022","14,118.60","13,878.99","14,125.67","13,827.34","232.03M","1.16%"
"03/16/2022","13,956.78","13,633.12","13,960.25","13,475.09","333.55M","3.70%"
"03/15/2022","13,458.56","13,174.97","13,488.18","13,092.45","287.73M","3.16%"
"03/14/2022","13,046.64","13,248.09","13,386.67","13,020.40","273.08M","-1.92%"
"03/11/2022","13,301.83","13,701.80","13,714.44","13,285.19","238.44M","-2.13%"
"03/10/2022","13,591.00","13,577.84","13,633.69","13,399.46","234.12M","-1.10%"
"03/09/2022","13,742.20","13,610.48","13,793.11","13,504.48","261.57M","3.58%"
"03/08/2022","13,267.60","13,275.23","13,663.27","13,129.40","308.91M","-0.39%"
"03/07/2022","13,319.38","13,853.53","13,879.10","13,314.44","304.72M","-3.75%"
"03/04/2022","13,837.83","13,957.60","13,992.97","13,738.61","244.70M","-1.41%"
"03/03/2022","14,035.21","14,339.70","14,342.56","13,965.11","230.88M","-1.46%"
"03/02/2022","14,243.69","14,075.11","14,292.72","13,962.69","233.56M","1.70%"
"03/01/2022","14,005.99","14,197.66","14,271.58","13,906.92","262.94M","-1.63%"
"02/28/2022","14,237.81","14,058.61","14,296.60","14,009.36","309.03M","0.34%"
"02/25/2022","14,189.16","13,973.90","14,193.00","13,850.29","241.78M","1.53%"
"02/24/2022","13,974.67","13,065.44","13,989.10","13,065.44","377.16M","3.44%"
"02/23/2022","13,509.43","14,016.94","14,035.93","13,502.58","256.46M","-2.60%"
"02/22/2022","13,870.53","13,892.81","14,109.26","13,720.92","258.34M","-0.99%"
"02/18/2022","14,009.54","14,207.55","14,225.72","13,918.76","266.12M","-1.14%"
"02/17/2022","14,171.74","14,485.08","14,497.46","14,155.43","226.16M","-2.96%"
"02/16/2022","14,603.64","14,514.84","14,647.79","14,399.29","194.98M","-0.12%"
