"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2022","163.00","166.44","166.50","162.95","59.97M","-1.98%"
"03/30/2022","166.30","168.51","168.95","165.50","56.17M","-1.78%"
"03/29/2022","169.31","170.38","170.83","167.87","66.15M","0.19%"
"03/28/2022","168.99","164.97","169.04","164.90","59.85M","2.56%"
"03/25/2022","164.77","164.00","165.37","162.25","49.09M","0.68%"
"03/24/2022","163.65","163.75","164.12","160.05","56.80M","0.15%"
"03/23/2022","163.41","163.71","166.37","162.69","55.81M","-0.90%"
"03/22/2022","164.89","161.81","166.17","161.70","64.09M","2.11%"
"03/21/2022","161.49","161.12","163.08","159.55","66.54M","0.15%"
"03/18/2022","161.25","156.81","161.59","156.01","102.96M","2.55%"
"03/17/2022","157.24","152.64","157.50","152.14","72.93M","2.70%"
"03/16/2022","153.10","148.50","153.15","147.35","84.96M","3.89%"
"03/15/2022","147.37","142.85","147.99","142.00","75.58M","3.89%"
"03/14/2022","141.85","145.98","147.45","140.88","74.09M","-2.52%"
"03/11/2022","145.52","149.57","149.68","145.37","68.90M","-0.89%"
"03/10/2022","146.82","145.69","148.67","143.98","135.06M","5.41%"
"03/09/2022","139.28","139.50","140.25","136.83","82.66M","2.40%"
"03/08/2022","136.01","136.68","140.70","133.57","91.66M","-1.05%"
"03/07/2022","137.45","145.44","146.09","137.42","86.93M","-5.62%"
"03/04/2022","145.64","147.16","147.85","143.81","60.98M","-1.53%"
"03/03/2022","147.90","153.53","153.93","146.86","65.20M","-2.73%"
"03/02/2022","152.05","150.85","153.00","148.75","47.33M","0.60%"
"03/01/2022","151.14","152.73","154.10","149.98","44.87M","-1.58%"
"02/28/2022","153.56","152.43","154.45","150.85","57.68M","-0.15%"
"02/25/2022","153.79","150.55","153.99","149.21","62.40M","1.61%"
"02/24/2022","151.36","139.84","151.75","139.50","100.79M","4.51%"
"02/23/2022","144.83","151.65","151.76","144.65","64.24M","-3.58%"
"02/22/2022","150.20","150.48","152.98","148.49","66.13M","-1.57%"
"02/18/2022","152.60","155.50","155.50","150.89","63.60M","-1.33%"
"02/17/2022","154.65","158.15","160.35","154.50","64.03M","-2.18%"
"02/16/2022","158.10","155.79","158.83","154.73","52.70M","1.02%"
"02/15/2022","156.51","157.61","158.01","154.64","56.97M","0.86%"
"02/14/2022","155.17","151.75","158.45","151.65","83.23M","1.23%"
"02/11/2022","153.29","158.13","159.00","152.73","77.10M","-3.59%"
"02/10/2022","159.00","158.35","160.72","157.75","68.27M","-1.36%"
"02/09/2022","161.19","162.87","163.83","160.25","68.79M","-0.14%"
"02/08/2022","161.41","156.75","161.79","155.55","76.04M","2.20%"
"02/07/2022","157.94","158.52","162.69","157.25","102.62M","0.19%"
"02/04/2022","157.64","155.61","161.20","150.61","253.46M","13.53%"
"02/03/2022","138.85","141.74","144.25","138.33","225.53M","-7.81%"
"02/02/2022","150.61","155.05","155.07","148.86","87.33M","-0.38%"
"02/01/2022","151.19","150.00","151.71","147.63","59.22M","1.08%"
"01/31/2022","149.57","144.75","150.36","144.30","78.31M","3.88%"
"01/28/2022","143.98","140.86","144.00","137.93","74.39M","3.11%"
"01/27/2022","139.64","140.80","144.24","139.35","77.52M","0.55%"
"01/26/2022","138.87","144.75","145.18","137.32","95.60M","-0.80%"
"01/25/2022","139.99","142.24","143.60","138.15","90.82M","-3.15%"
"01/24/2022","144.54","139.00","144.94","135.35","156.04M","1.33%"
"01/21/2022","142.64","149.95","150.90","142.07","163.97M","-5.95%"
"01/20/2022","151.67","156.77","158.00","151.35","71.97M","-2.96%"
"01/19/2022","156.30","158.76","159.25","156.25","53.24M","-1.65%"
"01/18/2022","158.92","159.10","159.73","157.66","67.44M","-1.99%"
"01/14/2022","162.14","160.15","162.25","159.80","45.97M","0.58%"
"01/13/2022","161.21","165.25","166.22","161.09","52.19M","-2.42%"
"01/12/2022","165.21","166.57","166.88","164.42","50.03M","-0.09%"
"01/11/2022","165.36","161.50","166.35","160.70","62.81M","2.40%"
"01/10/2022","161.49","160.59","161.66","156.30","87.80M","-0.65%"
"01/07/2022","162.55","163.84","165.24","162.03","46.61M","-0.43%"
"01/06/2022","163.25","163.45","164.80","161.94","51.96M","-0.68%"
"01/05/2022","164.36","166.88","167.13","164.36","64.30M","-1.89%"
"01/04/2022","167.52","170.44","171.40","166.35","70.73M","-1.69%"
"01/03/2022","170.40","167.55","170.70","166.16","63.87M","2.21%"
