"Date","Price","Open","High","Low","Vol.","Change %"
"06/29/2022","111.70","111.55","113.16","110.87","24.72M","-0.28%"
"06/28/2022","112.01","115.80","117.31","111.85","35.88M","-3.30%"
"06/27/2022","115.83","118.27","118.58","115.18","36.42M","-1.81%"
"06/24/2022","117.97","113.00","118.08","112.95","41.16M","5.11%"
"06/23/2022","112.24","112.23","112.74","110.50","28.36M","0.67%"
"06/22/2022","111.49","110.56","113.35","110.38","30.77M","-0.04%"
"06/21/2022","111.54","108.93","112.49","108.60","47.42M","4.11%"
"06/17/2022","107.14","106.03","108.70","105.05","51.38M","1.05%"
"06/16/2022","106.03","107.22","108.65","105.14","51.68M","-3.40%"
"06/15/2022","109.76","108.55","111.42","107.67","39.70M","2.85%"
"06/14/2022","106.72","106.53","107.92","105.80","33.71M","0.31%"
"06/13/2022","106.39","106.79","108.79","106.12","47.25M","-4.29%"
"06/10/2022","111.16","112.44","113.28","110.37","41.48M","-3.20%"
"06/09/2022","114.84","116.33","118.30","114.78","25.80M","-2.01%"
"06/08/2022","117.19","116.76","118.57","116.60","26.11M","0.03%"
"06/07/2022","117.15","115.48","117.69","115.05","31.59M","0.28%"
"06/06/2022","116.82","116.70","119.35","116.16","33.54M","1.99%"
"06/03/2022","114.54","116.06","116.32","113.52","26.14M","-2.62%"
"06/02/2022","117.62","114.00","117.90","112.95","37.99M","3.28%"
"06/01/2022","113.89","114.86","117.10","113.25","36.61M","0.11%"
"05/31/2022","113.76","112.75","115.73","112.08","50.01M","1.28%"
"05/27/2022","112.32","109.48","112.32","109.14","37.91M","4.20%"
"05/26/2022","107.79","105.68","108.65","105.22","37.95M","1.87%"
"05/25/2022","105.81","104.99","106.50","103.86","40.26M","-0.15%"
"05/24/2022","105.97","105.77","106.46","101.88","76.78M","-4.95%"
"05/23/2022","111.49","109.59","112.15","108.74","37.18M","2.37%"
"05/20/2022","108.91","111.95","112.18","105.80","48.96M","-1.33%"
"05/19/2022","110.38","111.43","113.01","110.00","34.14M","-1.36%"
"05/18/2022","111.90","115.00","115.40","111.56","35.13M","-3.92%"
"05/17/2022","116.47","116.84","116.90","114.87","23.05M","1.77%"
"05/16/2022","114.44","114.96","116.17","113.89","25.99M","-1.39%"
"05/13/2022","116.05","114.53","117.88","113.61","35.04M","2.84%"
