"Date","Price","Open","High","Low","Vol.","Change %"
"06/03/2022","190.78","195.98","196.61","189.78","19.46M","-4.06%"
"06/02/2022","198.86","188.45","200.93","187.73","31.49M","5.42%"
"06/01/2022","188.64","196.51","199.53","185.00","36.27M","-2.58%"
"05/31/2022","193.64","194.88","197.60","192.01","25.92M","-0.76%"
"05/27/2022","195.13","191.36","195.33","189.80","22.56M","1.83%"
"05/26/2022","191.63","182.88","192.83","182.26","23.06M","4.24%"
"05/25/2022","183.83","180.40","185.45","179.32","27.56M","1.41%"
"05/24/2022","181.28","180.55","183.68","176.11","50.24M","-7.62%"
"05/23/2022","196.23","195.19","196.99","191.24","22.76M","1.39%"
"05/20/2022","193.54","194.97","197.91","187.87","31.47M","1.18%"
"05/19/2022","191.29","191.20","195.29","189.60","24.45M","-0.49%"
"05/18/2022","192.24","200.00","201.00","191.63","23.81M","-5.12%"
"05/17/2022","202.62","202.12","205.46","198.36","24.87M","1.29%"
"05/16/2022","200.04","197.05","205.37","195.93","27.11M","0.71%"
"05/13/2022","198.62","192.58","199.89","191.28","24.55M","3.86%"
"05/12/2022","191.24","187.06","198.05","184.78","38.26M","1.32%"
"05/11/2022","188.74","196.32","200.67","188.27","31.15M","-4.51%"
"05/10/2022","197.65","199.51","202.96","194.19","34.45M","0.73%"
"05/09/2022","196.21","199.84","202.57","195.58","36.30M","-3.71%"
"05/06/2022","203.77","207.34","209.38","201.02","34.75M","-2.17%"
"05/05/2022","208.28","218.74","220.17","206.16","41.13M","-6.77%"
"05/04/2022","223.41","210.65","224.30","206.96","41.38M","5.37%"
"05/03/2022","212.03","210.45","214.90","208.09","41.56M","0.43%"
"05/02/2022","211.13","201.16","211.88","200.99","49.92M","5.32%"
"04/29/2022","200.47","204.46","212.48","199.90","49.19M","-2.56%"
"04/28/2022","205.73","202.92","208.53","192.90","100.89M","17.59%"
"04/27/2022","174.95","174.43","181.21","169.00","71.06M","-3.32%"
"04/26/2022","180.95","186.63","187.19","179.50","31.75M","-3.23%"
"04/25/2022","186.99","182.73","187.18","181.66","29.28M","1.56%"
"04/22/2022","184.11","190.37","192.72","183.27","36.43M","-2.11%"
"04/21/2022","188.07","201.60","202.97","185.58","49.95M","-6.16%"
"04/20/2022","200.42","213.60","214.16","198.92","43.04M","-7.77%"
"04/19/2022","217.31","210.52","218.43","209.00","20.09M","3.10%"
"04/18/2022","210.77","210.00","213.38","208.30","16.58M","0.28%"
"04/14/2022","210.18","214.89","214.99","210.00","18.38M","-2.24%"
"04/13/2022","214.99","211.82","216.61","211.33","19.23M","0.40%"
"04/12/2022","214.14","220.24","222.03","213.13","20.13M","-1.07%"
"04/11/2022","216.46","218.42","220.61","215.22","20.52M","-2.64%"
"04/08/2022","222.33","222.38","225.13","220.03","18.38M","-0.28%"
"04/07/2022","222.95","223.93","225.52","218.56","21.04M","-0.16%"
"04/06/2022","223.30","226.91","228.99","221.41","29.00M","-3.68%"
"04/05/2022","231.84","234.08","236.86","231.02","29.73M","-0.88%"
"04/04/2022","233.89","225.98","234.35","225.86","28.10M","4.02%"
"04/01/2022","224.85","224.55","227.28","222.70","19.54M","1.12%"
"03/31/2022","222.36","228.45","228.49","222.26","24.19M","-2.41%"
"03/30/2022","227.85","228.91","231.15","226.71","25.59M","-0.87%"
"03/29/2022","229.86","226.07","230.89","225.29","31.42M","2.80%"
"03/28/2022","223.59","222.13","224.04","219.54","26.22M","0.80%"
"03/25/2022","221.82","220.51","225.50","218.89","40.04M","1.02%"
"03/24/2022","219.57","215.00","220.67","214.79","31.50M","2.86%"
"03/23/2022","213.46","213.33","216.80","212.16","23.72M","-1.47%"
"03/22/2022","216.65","211.37","219.46","210.18","32.00M","2.44%"
"03/21/2022","211.49","214.50","214.71","207.63","30.14M","-2.31%"
"03/18/2022","216.49","206.70","216.80","206.00","52.13M","4.16%"
"03/17/2022","207.84","201.70","208.04","201.11","29.50M","2.07%"
"03/16/2022","203.63","194.70","203.73","194.52","40.64M","6.04%"
"03/15/2022","192.03","190.80","192.28","185.91","31.72M","2.89%"
"03/14/2022","186.63","187.03","192.29","185.82","31.01M","-0.52%"
"03/11/2022","187.61","192.63","193.56","186.67","34.69M","-3.89%"
"03/10/2022","195.21","194.84","196.28","191.07","24.85M","-1.66%"
"03/09/2022","198.50","195.74","199.10","193.92","31.89M","4.31%"
"03/08/2022","190.29","187.85","196.70","186.11","37.51M","1.50%"
"03/07/2022","187.47","200.79","200.89","187.28","38.56M","-6.29%"
"03/04/2022","200.06","202.37","205.89","198.79","32.15M","-1.43%"
"03/03/2022","202.97","209.01","209.08","201.42","27.26M","-2.47%"
"03/02/2022","208.11","204.78","209.15","202.02","29.45M","2.27%"
"03/01/2022","203.49","209.87","211.75","202.22","27.09M","-3.57%"
"02/28/2022","211.03","207.68","213.15","206.83","34.24M","0.26%"
"02/25/2022","210.48","204.94","211.32","203.18","37.63M","1.39%"
"02/24/2022","207.60","191.06","208.35","190.22","49.96M","4.61%"
"02/23/2022","198.45","204.16","206.94","198.05","44.48M","-1.80%"
"02/22/2022","202.08","202.34","207.48","200.06","39.85M","-1.98%"
"02/18/2022","206.16","209.39","210.75","205.18","37.13M","-0.75%"
"02/17/2022","207.71","214.02","217.50","207.16","38.75M","-4.08%"
"02/16/2022","216.54","212.41","217.46","212.36","45.82M","-2.02%"
"02/15/2022","221.00","220.47","221.15","215.06","42.69M","1.52%"
"02/14/2022","217.70","219.31","221.00","214.78","38.18M","-0.84%"
"02/11/2022","219.55","228.46","230.42","218.77","46.16M","-3.74%"
"02/10/2022","228.07","228.27","235.00","226.70","49.31M","-1.69%"
"02/09/2022","232.00","224.20","233.37","222.21","86.56M","5.37%"
"02/08/2022","220.18","220.85","225.77","216.15","94.73M","-2.10%"
"02/07/2022","224.91","237.70","238.30","224.01","88.61M","-5.14%"
"02/04/2022","237.09","234.97","242.61","230.11","89.34M","-0.28%"
"02/03/2022","237.76","244.65","248.00","235.75","188.12M","-26.39%"
"02/02/2022","323.00","327.82","328.00","316.87","58.46M","1.25%"
"02/01/2022","319.00","314.56","319.66","312.12","18.02M","1.83%"
"01/31/2022","313.26","300.68","313.79","299.32","21.58M","3.83%"
"01/28/2022","301.71","295.62","301.90","293.03","21.87M","2.40%"
"01/27/2022","294.64","297.75","301.71","294.26","21.63M","0.00%"
"01/26/2022","294.63","307.01","307.51","290.85","28.35M","-1.84%"
"01/25/2022","300.15","299.95","306.23","297.58","25.11M","-2.77%"
"01/24/2022","308.71","297.84","309.53","289.01","38.94M","1.83%"
"01/21/2022","303.17","314.81","318.31","303.04","28.71M","-4.23%"
"01/20/2022","316.56","323.90","327.82","315.98","16.93M","-0.95%"
"01/19/2022","319.59","319.58","327.10","319.33","20.81M","0.45%"
"01/18/2022","318.15","323.29","324.21","317.64","22.68M","-4.14%"
"01/14/2022","331.90","321.79","332.73","321.21","16.87M","1.66%"
"01/13/2022","326.48","334.98","335.63","325.76","14.80M","-2.03%"
"01/12/2022","333.26","335.18","336.37","330.03","14.10M","-0.33%"
"01/11/2022","334.37","326.78","334.63","325.28","16.23M","1.92%"
"01/10/2022","328.07","325.31","328.34","315.43","24.94M","-1.12%"
"01/07/2022","331.79","332.74","337.00","328.88","14.72M","-0.20%"
"01/06/2022","332.46","322.82","339.17","322.72","27.96M","2.56%"
"01/05/2022","324.17","333.02","335.76","323.84","20.56M","-3.67%"
"01/04/2022","336.53","339.95","343.09","331.87","16.00M","-0.59%"
"01/03/2022","338.54","338.30","341.08","337.19","14.56M","0.65%"
